SampleNumber,BioYear,pack,hr_type,Prey,mean_read_count,total_reads_sample,prop_reads_sample
6,2014,Honker,annual,Odocoileus hemionus,24852.5,24852.5,1
7,2014,Honker,annual,Odocoileus hemionus,112592,112592,1
8,2014,Snow Pass,annual,Odocoileus hemionus,3585.5,5758,0.622698854
8,2014,Snow Pass,annual,Lontra canadensis,1475.5,5758,0.256252171
8,2014,Snow Pass,annual,Phoca vitulina,697,5758,0.121048975
9,2014,Trocadero,annual,Odocoileus hemionus,40730,40730,1
10,2015,Ratz,annual,Odocoileus hemionus,243844,243844,1
11,2015,Honker,den,Odocoileus hemionus,41005.5,41005.5,1
12,2015,Honker,annual,Odocoileus hemionus,1162,1162,1
13,2014,NA,NA,Odocoileus hemionus,16519.75,21279.75,0.776313162
13,2014,NA,NA,Martes americana,3639.5,21279.75,0.171031145
13,2014,NA,NA,Sylvilagus sp.,1120.5,21279.75,0.052655694
14,2015,Honker,annual,Castor canadensis,47364.6667,136226.6667,0.347690124
14,2015,Honker,annual,Sus scrofa domesticus,87662,136226.6667,0.643501028
14,2015,Honker,annual,Odocoileus hemionus,1200,136226.6667,0.008808848
15,2015,Honker,den,Castor canadensis,21485.6667,30058.00003,0.714806929
15,2015,Honker,den,Odocoileus hemionus,8572.33333,30058.00003,0.285193071
16,2015,Honker,den,Odocoileus hemionus,685,685,1
17,2015,Honker,den,Castor canadensis,74413.25,80325.75,0.926393467
17,2015,Honker,den,Odocoileus hemionus,5912.5,80325.75,0.073606533
18,2015,Honker,den,Odocoileus hemionus,77486.75,78687.75,0.984737141
18,2015,Honker,den,Castor canadensis,1201,78687.75,0.015262859
20,2015,Honker,den,Odocoileus hemionus,382718.75,388158.25,0.985986386
20,2015,Honker,den,Castor canadensis,5439.5,388158.25,0.014013614
21,2015,Honker,den,Odocoileus hemionus,282771.75,283606.75,0.997055782
21,2015,Honker,den,Castor canadensis,835,283606.75,0.002944218
22,2015,Honker,den,Odocoileus hemionus,97773.3333,97773.3333,1
23,2014,NA,NA,Odocoileus hemionus,282397.75,290647.5,0.971615961
23,2014,NA,NA,Castor canadensis,5933.75,290647.5,0.020415624
23,2014,NA,NA,Turdus migratorius,2316,290647.5,0.007968415
24,2014,Honker,annual,Odocoileus hemionus,24129,24129,1
25,2015,Honker,annual,Odocoileus hemionus,70694.25,75141.25,0.940818126
25,2015,Honker,annual,Microtus sp.,4447,75141.25,0.059181874
26,2015,Sandy Beach,annual,Lontra canadensis,5062,6174,0.819889861
26,2015,Sandy Beach,annual,Odocoileus hemionus,1112,6174,0.180110139
27,2015,Honker,annual,Odocoileus hemionus,158261.75,158261.75,1
28,2015,Honker,annual,Odocoileus hemionus,58314.75,58520.75,0.996479881
28,2015,Honker,annual,Castor canadensis,206,58520.75,0.003520119
29,2015,Sandy Beach,annual,Odocoileus hemionus,22065.5,30953.16667,0.712867289
29,2015,Sandy Beach,annual,Castor canadensis,8887.66667,30953.16667,0.287132711
30,2015,Staney,annual,Odocoileus hemionus,164609.25,166057.25,0.991280116
30,2015,Staney,annual,Lontra canadensis,1448,166057.25,0.008719884
31,2015,Honker,annual,Castor canadensis,54478.5,61243,0.88954656
31,2015,Honker,annual,Odocoileus hemionus,6425.5,61243,0.104918113
31,2015,Honker,annual,Sus scrofa domesticus,339,61243,0.005535326
33,2015,Honker,annual,Odocoileus hemionus,108484.25,108723.75,0.997797169
33,2015,Honker,annual,Castor canadensis,239.5,108723.75,0.002202831
34,2015,Staney,annual,Odocoileus hemionus,234073.5,238206.25,0.982650539
34,2015,Staney,annual,Castor canadensis,4132.75,238206.25,0.017349461
35,2015,Staney,annual,Odocoileus hemionus,10137.5,10137.5,1
36,2015,Ratz,annual,Odocoileus hemionus,20242.25,24661.91667,0.820789814
36,2015,Ratz,annual,Castor canadensis,4419.66667,24661.91667,0.179210186
37,2015,Sandy Beach,annual,Odocoileus hemionus,12834,13350,0.961348315
37,2015,Sandy Beach,annual,Castor canadensis,516,13350,0.038651685
38,2015,Honker,annual,Odocoileus hemionus,142604.5,143123.5,0.996373761
38,2015,Honker,annual,Ursus americanus,519,143123.5,0.003626239
39,2015,Honker,annual,Castor canadensis,241096.75,251968.75,0.956851792
39,2015,Honker,annual,Odocoileus hemionus,10872,251968.75,0.043148208
40,2015,Honker,den,Odocoileus hemionus,85575,89977,0.951076386
40,2015,Honker,den,Ursus americanus,2638.5,89977,0.029324161
40,2015,Honker,den,Castor canadensis,1763.5,89977,0.019599453
41,2014,NA,NA,Castor canadensis,437919.25,453104.5,0.966486208
41,2014,NA,NA,Odocoileus hemionus,13941.25,453104.5,0.030768289
41,2014,NA,NA,Ursus americanus,1244,453104.5,0.002745504
42,2015,Honker,den,Odocoileus hemionus,21682.25,22797.25,0.951090592
42,2015,Honker,den,Sus scrofa domesticus,1115,22797.25,0.048909408
43,2015,Honker,den,Odocoileus hemionus,16300.75,24807.91667,0.657078553
43,2015,Honker,den,Castor canadensis,6491.5,24807.91667,0.261670502
43,2015,Honker,den,Ursus americanus,2015.66667,24807.91667,0.081250945
44,2014,NA,NA,Castor canadensis,88913.25,118517.75,0.750210412
44,2014,NA,NA,Odocoileus hemionus,29604.5,118517.75,0.249789588
45,2015,Honker,den,Odocoileus hemionus,20190.5,20190.5,1
46,2015,Honker,annual,Odocoileus hemionus,161024.25,162428.75,0.991353132
46,2015,Honker,annual,Peromyscus keeni,1404.5,162428.75,0.008646868
47,2015,Trocadero,annual,Odocoileus hemionus,70482.25,72554.25,0.971442059
47,2015,Trocadero,annual,Oncorhynchus kisutch,1483,72554.25,0.020439878
47,2015,Trocadero,annual,Ursus americanus,589,72554.25,0.008118063
48,2015,Honker,annual,Odocoileus hemionus,11279.75,15591.75,0.723443488
48,2015,Honker,annual,Castor canadensis,3094.5,15591.75,0.198470345
48,2015,Honker,annual,Ursus americanus,1217.5,15591.75,0.078086167
49,2015,Honker,annual,Odocoileus hemionus,349723.5,356076,0.982159707
49,2015,Honker,annual,Castor canadensis,3713.5,356076,0.010428953
49,2015,Honker,annual,Junco hyemalis,2639,356076,0.007411339
50,2015,Honker,annual,Castor canadensis,87356.25,108607.5,0.804329811
50,2015,Honker,annual,Odocoileus hemionus,21251.25,108607.5,0.195670189
52,2014,Honker,annual,Odocoileus hemionus,133954.25,135292.75,0.990106639
52,2014,Honker,annual,Castor canadensis,1338.5,135292.75,0.009893361
53,2015,Honker,annual,Odocoileus hemionus,262735.25,263238.25,0.998089183
53,2015,Honker,annual,Ursus americanus,503,263238.25,0.001910817
54,2015,Honker,annual,Odocoileus hemionus,61061.5,64543.83333,0.946047002
54,2015,Honker,annual,Haliaeetus leucocephalus,1409,64543.83333,0.021830126
54,2015,Honker,annual,Oncorhynchus kisutch,717,64543.83333,0.01110873
54,2015,Honker,annual,Ursus americanus,681.333333,64543.83333,0.010556134
54,2015,Honker,annual,Castor canadensis,675,64543.83333,0.010458009
55,2015,Honker,annual,Odocoileus hemionus,90898.5,106544,0.853154565
55,2015,Honker,annual,Castor canadensis,13454.5,106544,0.126281161
55,2015,Honker,annual,Ursus americanus,2191,106544,0.020564274
56,2015,Tuxekan,annual,Castor canadensis,99092.75,106922.75,0.92676956
56,2015,Tuxekan,annual,Odocoileus hemionus,7830,106922.75,0.07323044
57,2015,Tuxekan,annual,Odocoileus hemionus,31543,31798,0.991980628
57,2015,Tuxekan,annual,Castor canadensis,255,31798,0.008019372
58,2015,Tuxekan,annual,Odocoileus hemionus,89846,89846,1
59,2015,Tuxekan,annual,Castor canadensis,73963.5,92381.25,0.800633245
59,2015,Tuxekan,annual,Odocoileus hemionus,18417.75,92381.25,0.199366755
60,2015,Sandy Beach,annual,Lontra canadensis,134342.5,140653.8333,0.955128608
60,2015,Sandy Beach,annual,Odocoileus hemionus,4906,140653.8333,0.034879959
60,2015,Sandy Beach,annual,Ursus americanus,897.333333,140653.8333,0.006379729
60,2015,Sandy Beach,annual,Castor canadensis,508,140653.8333,0.003611704
61,2015,Sandy Beach,annual,Lontra canadensis,71408,71744,0.995316682
61,2015,Sandy Beach,annual,Odocoileus hemionus,336,71744,0.004683318
63,2015,Honker,annual,Odocoileus hemionus,11989.25,13066.25,0.917573902
63,2015,Honker,annual,Lontra canadensis,1077,13066.25,0.082426098
64,2015,Honker,annual,Odocoileus hemionus,28334.3333,28819.3333,0.983171019
64,2015,Honker,annual,Castor canadensis,485,28819.3333,0.016828981
65,2015,Honker,annual,Odocoileus hemionus,1869.75,2205.75,0.84767086
65,2015,Honker,annual,Castor canadensis,336,2205.75,0.15232914
66,2015,Honker,annual,Odocoileus hemionus,50560.5,50560.5,1
67,2014,Honker,annual,Odocoileus hemionus,144933.75,145439.75,0.996520896
67,2014,Honker,annual,Castor canadensis,506,145439.75,0.003479104
68,2014,Honker,annual,Ursus americanus,1612,2484,0.648953301
68,2014,Honker,annual,Odocoileus hemionus,872,2484,0.351046699
70,2014,Honker,annual,Ursus americanus,10279,16330.75,0.629426083
